# Palette: A color palette used to map pixel values to specific colors in indexed color images.
152,110,154
33,191,223
205,10,65
3,202,215
150,192,164
59,153,131
194,175,66
111,97,159
172,120,164
81,24,132
143,76,124
80,91,210
20,56,202
136,203,140
61,175,106
78,86,11
61,127,29
145,136,223
158,54,243
227,35,93
182,141,138
167,88,41
170,7,179
78,181,253
117,12,234
137,184,76
43,41,14
68,196,64
82,93,184
206,116,156
57,115,212
83,195,44
91,31,173
37,118,45
238,221,170
38,212,70
214,136,8
201,246,122
22,194,63
8,7,194
165,38,211
74,179,63
103,17,137
31,108,239
166,170,77
11,66,187
147,180,127
110,72,242
100,167,57
39,79,240
102,252,250
175,101,35
67,162,103
64,62,249
214,126,203
243,73,42
169,248,159
131,68,159
27,18,30
168,83,150
135,135,159
91,158,1
192,232,135
190,183,174
249,51,109
194,203,2
97,85,83
97,216,135
19,150,223
36,102,177
115,51,224
161,150,156
125,81,39
201,223,32
66,93,138
159,145,65
144,23,45
90,44,233
17,40,232
111,243,133
176,242,40
207,133,107
111,4,180
225,219,126
178,90,154
172,237,57
111,75,29
134,218,255
239,126,166
198,186,51
148,50,49
163,67,33
59,245,85
128,104,209
163,77,131
165,82,175
39,115,252
130,48,29
172,198,58
66,1,219
159,162,86
138,130,1
33,155,15
102,187,184
195,195,73
0,91,247
99,254,234
112,28,24
14,44,248
42,146,18
11,177,33
101,114,75
105,119,61
105,206,182
77,82,121
24,38,155
145,156,186
200,33,209
117,214,83
254,161,73
171,165,255
39,22,87
159,127,197
185,206,78
229,17,220
94,132,188
209,0,17
63,151,222
43,149,143
48,224,165
41,181,160
79,214,164
237,69,69
74,72,248
12,249,193
201,217,206
143,184,14
133,110,180
1,249,99
37,89,228
3,123,210
190,200,74
169,137,213
79,36,152
203,133,53
141,147,74
131,161,112
113,78,67
85,51,141
222,89,3
118,106,197
164,24,165
6,244,247
246,205,244
87,254,191
252,53,122
74,116,39
134,186,28
190,129,108
210,191,115
9,223,238
108,152,251
62,27,47
159,223,53
66,126,198
192,183,93
115,165,29
95,254,23
146,180,142
225,83,74
148,0,49
233,14,77
60,0,157
38,2,243
38,31,41
12,31,217
88,32,199
71,77,173
36,205,96
169,69,44
62,205,125
8,9,2
156,223,90
96,160,186
175,238,252
48,227,246
103,0,173
163,233,223
252,190,229
88,18,152
148,27,8
55,67,83
114,165,177
16,103,201
136,222,72
183,69,180
234,129,107
211,56,162
253,139,144
207,80,107
135,87,169
59,222,166
241,207,130
207,40,167
8,42,189
166,63,177
53,214,178
170,104,198
217,178,80
138,71,49
83,104,134
101,173,75
225,143,125
143,192,186
246,164,39
238,13,8
92,94,79
47,215,208
153,0,140
75,140,81
44,226,83
106,238,16
156,171,223
29,168,71
156,198,78
180,182,32
154,56,72
219,243,98
37,79,131
2,222,106
233,154,233
222,2,164
61,230,192
77,81,169
175,97,66
104,209,136
132,1,191
38,167,28
183,71,204
156,202,13
66,79,111
4,124,62
37,35,26
243,87,231
225,11,246
173,133,125
26,228,106
244,139,213
8,103,197
90,29,63
119,61,84
3,178,241
154,99,55
242,175,21
73,138,236
58,68,208
